,lyrics,genre
23,flame flickers a soft light born from the midnight strokes slowly to her side secrets sworn concealed tight  see the strange fires billow from her vacant eyes strange fires melting through my distant guise strange fires billow from her vacant eyes strange fires melting through my distant guise  flame flickers a soft light (from a love we cannot touch) born from the midnight (how lovely it's to be) strokes slowly to her side (from above we let you shine) secrets sworn concealed tight (close your keeps until it comes)  see the strange fires billow from her vacant eyes strange fires melting through my distant guise strange fires billow from her vacant eyes strange fires melting through my distant guise,Electronic
24,"take what you're feeling, what you believe in you turn everything into whole deep in the sea, you see me i'm drifting leave all my problems afloat  oh, you know i can't leave it alone i can't leave it alone, i can't leave it uh, yeah you know i can't leave it alone i can't leave it alone you know i can't leave it  oh, this ain't about the money i make or the games that we play i need something better and it ain't about the places i go or the people i know i need something better  oh, you know i can't leave it alone i can't leave it alone, i can't leave it uh, yeah you know i can't leave it alone i can't leave it alone you know i can't leave it  take what you're feeling, what you believe in you turn everything into whole deep in the sea, you see me i'm drifting leave all my problems afloat  oh, you know i can't leave it alone i can't leave it alone, i can't leave it uh, yeah you know i can't leave it alone i can't leave it alone you know i can't leave it",Electronic
25,"you got my heart and i like it 'cause i like you yeah, i do, think i love you now i got your heart and i'll keep it 'cause i need you like for good  tore me apart and you found it now can't undo how i feel about you now 'cause you met my heart and you liked it 'cause i feel for you only you  i'll take care of you if you take care of me too and my heart my heart and my heart  my heart i'll take care of you if you take care of me too and my heart  just me and my heart just you and your heart just me and my heart just you and your heart  i took the fall but i liked it 'cause i knew what they don't know now i love you i met your heart and i knew it i found the world in you  i'll take care of you, you if you take care of me too and my heart oh woah yeah my heart oh, woah, yeah my heart  i'll take care of you oh, i'll take care of you now you and your heart just you and your heart  i'll take care of you my heart if you take care of me too my heart and my heart  take care of my heart my heart my heart if you take care of me too and my heart my heart and my heart  you'll have take care of my heart of my heart",Electronic
26,nothing ever moves my body the way it did before never thought i'd be somebody somebody you used to love  i know the world is not the same and that we changed in a million ways so when i see you in the crowd i see somebody i used to love  like setting fire to paper we went from lovers to strangers like ovеrnight we let it go the love that wе used to know  the love that we used to know  like setting fire to paper we went from lovers to strangers like overnight we let it go the love that we used to know  like overnight we let it go the love that we used to know  i can clearly still remember the colors in your eyes it was only last september we were sleeping side by side  i know the world is not the same and that we changed in a million ways so when i see you in the crowd i see somebody i used to love  like setting fire to paper we went from lovers to strangers like overnight we let it go the love that we used to know  the love that we used to know  like setting fire to paper we went from lovers to strangers like overnight we let it go the love that we used to know  the love that we used to know,Electronic
27,"vibes, i came for the vibes i'm here to have a good time? i came for the vibes so are you down for the ride?  vibes, i came for the vibes i'm here to have a good time, time, time, time i came for the vibes so are you down for the ride?  that's my vibe so are you down for the ride?  i'm here to have a good time  vibes, i came for the vibes i'm here to have a good time i came for the vibes so are you down for the ride?  that's my vibe so are you down for the ride?  i'm here to have a good time",Electronic
28,i just can't get you out of my head your love is all i think about i just can't get you out of my head your love is all i think about i just can't get you out of my head your love is all i think about  i just can't get you out of my head your love is all i think about i just can't get you out of my head your love is all i think about i just can't get you out of my head your love is all i think about i just can't get you out of my head your love is all i think about  i just can't get you out of my head your love is all i think about i just can't get you out of my head your love is all i think about  i just can't get you out of my head your love is all i think about i just can't get you out of my head your love is all i think about i just can't get you out of my head your love is all i think about i just can't get you out of my head your love is all i think about,Electronic
29,"from walking home and talking loads  to seeing shows in evening clothes with you  but now we're slipping near the edge holding something we don't need all this delusion in our heads is gonna bring us to our knees  so, come on, let it go just let it be why don't you be you and i'll be me?  everything that's broke leave it to the breeze why don't you be you and i'll be me? and i'll be me  just tryna fit your hand inside of mine when we know it just don't belong there's no force on earth could make me feel right, no no, no tryna push this problem up the hill when it's just too heavy to hold think now's the time to let it slide  so, come on, let it go, ooh just let it be why don't you be you and i'll be me?  everything that's broke leave it to the breeze let the ashes fall forget about me  so, come on, let it go just let it be why don't you be you and i'll be me? oh and i'll be me",Electronic
30,left out in the rain too long / there was not no glory to re-live  all 3 fingers - all your limbs / pliable now as steam and soft light  traded off when you were down / took it - on took it on  the story bitches and the scene don't care / unraveling now like steam and soft light  the cutter loses his nerve and turns away  the stepdaughter dissolves into the dark woods soundless  mama take the pillow from under my head / stepdaughter made my dying bed  left out in the rain too long / to marinate in steam and soft light  the stepdaughter dissolves into the dark woods soundless  the cutter delivers an elk heart for false proof  bury me shallow and scratch out my name  i'd make every mistake all over again,Electronic
31,u knw thrs sunmthng on my mind bt i dnt knw hw to say it to u nw i think am in lov wit u i cant deny hw i feel. oh u got dis effect on me. i dnt knw wat to do... i kep telin ma'slf its al in ma head... ooh ur lov it makes me wna fly ... ur love. ur lov... it makes me wna fly away far frm the things of the earth. hw can i deny. the things i feel inside. u tke me to a higher place. dat il nva may b far... ur lov is rescuring me,Electronic
32,"i've lived a little i've loved a lot i lost myself to you we tied our dreams up in a lover's knot but none of them came true  my solid ground soon turned to quicksand the warm winds turned to frost where does love go? when it has no plan? when everything is lost?  the only thing that i forgot was that we walk alone i'm learning how to stand again a steady hand again  i'm gonna be ok i'm gonna be just fine i'm gonna be alright now (alright now) i'm gonna make a break i'm gonna take my time i'm gonna be alright now (alright now)  i'm gonna be ok i'm gonna be just fine i'm gonna be alright now (alright now) i'm gonna make a break i'm gonna take my time i'm gonna be alright now (alright now)  you said you'd love me bigger than the universe, the sun and all the stars you said that there was nothing that we couldn't overcome and yet we fell apart  we fell apart",Electronic
33,"i believe i can change the world  change the meaning, world for world  i believe cause i'm a believer  i believe the destiny  an historic density  i believe cause i'm a believer  i'm a believer  believer  i'm a believer  believer  the signaled paradise  i believe in a better place  i believe in a common faith  i believe, i believe  i believe there's good inside  it's part of our design  i believe cause i'm a believer  i'm a believer, believer  believer, i'm a believer  you changed the world  you changed the world  you changed the world  if you aren't blind you see  believe in  ♪  believer, believer, believer  believer, believer, believer  believer, believer, believer",Electronic
34,milk & sugar  miscellaneous  let the sun shine  featuring lizzy pattinson  mommy told me something  a little kid should know  it's all about the devil  and i learned to hate him so  she said he causes trouble when you let him in your room  he'll never ever leave you if your heart is filled with gloom  chorus:  so let the sun shine in  face it with a grin  smilers never lose  and frowners never win  so let the sun shine in  face it with a grin  open up your heart and let the sun shine in  when you are unhappy  the devil wears a grin  but oh he starts to run in  when the light comes prowling in  i know he'll be unhappy  cause i'll never wear a frown  maybe if we keep on smiling  he'll get tired of hanging 'round  if i forget to say my prayers  the devil jumps with glee  but he feels so awful awful  when he sees me on my knees  so if you feel of trouble  and you never seem to move  just open up your heart and let the sun shine in  (chorus)  suuuuun shiiiiiine iiiiiin  suuuuun shiiiiiine iiiiiin  mommy told me someting  a little kid should know  it's all about the devil  and i learned to hate him so  if i forget to say my prayers  the devil jumps with glee  but he feels so awful awful  when he sees me on my knees  so if you feel of trouble  and you never seem to move  just open up your heart and let the sun shine in  (chorus),Electronic
35,"libre como un pájaro libre como el viento como el agua clara que viaja del monte así así, así quiero verte de día y de noche de día y de noche mejor no pienso ni decir, solo siente no digas no siento, sentir la vida  libre como un pájaro libre como el viento como el agua clara que viaja del monte así así, así quiero verte de día y de noche de día y de noche mejor no pienso ni decir, solo siente no digas no siento, sentir la vida  free as a bird free as the wind clear like water that flows from the mountain free as a bird free as the wind clear as the water that flows from the mountain free as a bird free as the wind clear like water that flows from the mountain free as a bird free as the wind clear as the water that flows from the mountain  free as a bird free as the wind clear like water that flows from the mountain free as a bird free as the wind clear as the water that flows from the mountain  free as a bird free as the wind clear like water that flows from the mountain free as a bird free as the wind clear as the water that flows from the mountain",Electronic
36,never dreamt i'd meet someone like you all unwanted features build the unity of you but i like you  you see the overall of what we are is it a sad sad sight viewed from afar why don't you call  whatever made you into clump like you the icing cold that leaks out through cracks of you makes us as new whatever made you seem so very small are you tiny in real life but large in thought who's standing tall  cannot wait until i get my hands on you we can do the things we said we would  you never had a true friend like i someone to pick you up when you needed to be carried through if my hands weren't so very sharp this broken glass that surrounds wherever we are wouldn't do us part  whatever made you into clump like you the fiery warmth that reeks out from miles of you is burning through whatever made you seem so very small are you in real life but large in thought come stand up tall  cannot wait until i get my hands on you we can do the things we said we would cannot wait until i see your smiling faces and our love will be misunderstood,Electronic
37,oh no uh oh  slap it down  don't make me shoot y'all  i gotta maintain 'cause stress on the brain can lead to a motherfucking suicide thing  drunk with a gun makes you hit the crowd  tear the roof off  don't make me shoot y'all  slap it down  drunk with a gun makes you hit the crowd  i gotta maintain 'cause stress on the brain can lead to a motherfucking suicide thing  tear the roof off don't make me shoot y'all  slap it down  drunk with a gun makes you hit the crowd  i gotta maintain 'cause stress on the brain can lead to a motherfucking suicide thing,Electronic
38,i know that you're an ocean after the storm has come. to stay i know that you're the silence after the sun has gone. away  i know that just the smallest. part of the world belongs. to me you know i'm not a blind man. but truth is the hardest thing. to see  i know that you're the worst thing. in all of the world. for me i know that you're the worst thing. in all of the world. for me,Electronic
39,"it's like a heatwave hits you right between the eyes at a dive bar, looking like brooklyn angel light sun melting off your tattoos on your thighs drunk on something i vaguely remember it tasted like whisky, right?  get it out of your system throwing up on a pavement hold your hair, i'm laughing but my stomachs turning pumping, playing black flag my shirt, faded cro-mags lead singer with dog tags, you and me you and me  we know who we are (we know who we are) close to falling apart (close to falling apart) unapologetic art (unapologetic art) outcasts from the stars we know who we are  we know who we are and you, and me and you, and me and you, and me  it's like the sunshine, blinding you in both of your eyes at a hotel bar, using your best cheesy pickup line we're three drinks in, getting matching tattoos of our sides it was dumb, i know but i'm a cancer so i had the most perfect time  getting stoned in michigan when you talk, i'm listening your nails are faded red my life, a perfect mess for running through the tree line only worth a grand, don't mind that's 50 bottles of wine, for you and me and you, and me and you, and me and you, and me  we know who we are (we know who we are) close to falling apart (close to falling apart) unapologetic art (unapologetic art) outcasts from the stars we know who we are  we know who we are (we know who we are) close to falling apart (close to falling apart) unapologetic art (unapologetic art) outcasts from the stars  we know who we are we know who we are we know who we are",Electronic
40,the big bad wolf the big bad wolf the big bad wolf the big bad wolf  the big bad wolf the big bad wolf the big bad wolf the big bad wolf  the big bad wolf the big bad wolf the big bad wolf  the big bad wolf the big bad wolf the big bad wolf the big bad wolf  the big bad wolf the big bad wolf the big bad wolf the big bad wolf  the big bad wolf the big bad wolf the big bad wolf the big bad wolf  the big bad wolf  the big bad wolf the big bad wolf  the big bad wolf the big bad wolf the big bad wolf the big bad wolf  the big bad wolf the big bad wolf the big bad wolf the big bad wolf  the big bad wolf  the big bad w...  the big bad wolf the big bad wolf the big bad wolf  the big bad wolf the big bad wolf the big bad wolf the big bad wolf the big bad wolf the big bad wolf the big bad wolf the big bad wolf the big bad wolf the big bad wolf the big bad wolf the big bad wolf the big bad wolf the big bad wolf,Electronic
41,"always (don't) life, always (don't) always (don't) life don't always turn out like you planned. life don't always turn out like you planned. but these things is making me who i am and why... is this so hard to understand. since you've been away i turned into a better man cuz baby you've been gone too long gone too long. you had me, you played me i'm moving on gone too long gone too long did you really think i'd keep hanging on you had me, you played me i'm moving on lying in the dark i thought i heard you speak tried to listen but your voice beacame to weak then i know i had to get back on my feet on my feet. oh baby wont take this no longer, you are weak, but i am stronger i got lost in, in the distance and we've gone from existence and no sweet talk we'll fix this cuz you burned all your bridges, i cant see you i cant hear you now life don't always turn out like you planned. but these things is making me who i am and why is this so hard to understand since you've been away i turned into a better man cuz baby you have been gone too long gone too long wont take this no longer, (gone too long) you are weak, but i am stronger (you had me, you played me im movin on) i got lost in, in the distance and we gone from existence (gone too long) and no sweet talk will fix this (gone too long) cuz you burned all your bridges, (gone too long) i cant see you i cant hear you now (gone too long) gone too long...",Electronic
42,"i'm on an aeroplane  i'm not feelin' hot  my mouth is dry  and my hands sweat a lot  i haven't moved a bit  since the door was locked  gimme a dramamine  gimme a vodka shot  we're on the runway now  i want to scream out loud  i clutch the armrest  until we leave the ground  my heart is pounding  why are we dropping  alarm is sounding  everyone screams aloud  under the water now  bodies around me  unable to swim, i can't feel my limbs  i'm sinking down further  hold my breath no longer  unable to swim, i can't feel my limbs  under the water now  bodies around me  unable to swim, i can't feel my limbs  i'm sinking down further  hold my breath no longer  unable to swim, i can't feel my limbs  under the water now  bodies around me  unable to swim, i can't feel my limbs  i'm sinking down further  hold my breath no longer  unable to swim, i can't feel my limbs  under the water now  bodies around me  unable to swim, i can't feel my limbs  i'm sinking down further  hold my breath no longer  unable to swim, i can't feel my limbs",Electronic
43,"yeah enjoy the show  yeah we made it we just talkin' if they hating, you know they watching  enjoy the show enjoy the show enjoy the show enjoy the show  yeah we made it they always talkin' if they hating, you know they watching  enjoy the show enjoy the show enjoy the show f*ck it! enjoy the show  enjoy the show enjoy the show enjoy the show enjoy the show  lights, camera, action!  yeah we made it we just talkin' if they hating, you know they watching  enjoy the show enjoy the show enjoy the show enjoy the show  yeah we made it they always talkin' if they hating, you know they watching  enjoy the show enjoy the show enjoy the show f*ck it! enjoy the show  enjoy the show enjoy the show enjoy the show enjoy the show  lights, camera, action!",Electronic
